symbol	default_version
android_fdsan_get_error_level	LIBC_Q
android_fdsan_get_fd_table	LIBC_PLATFORM
android_fdsan_get_owner_tag	LIBC_Q
android_fdsan_get_tag_type	LIBC_Q
android_fdsan_get_tag_value	LIBC_Q
android_fdsan_set_error_level	LIBC_Q
android_fdtrack_compare_exchange_hook	LIBC_PLATFORM
android_fdtrack_get_enabled	LIBC_PLATFORM
android_fdtrack_set_enabled	LIBC_PLATFORM
android_fdtrack_set_globally_enabled	LIBC_PLATFORM
android_get_device_api_level	LIBC_Q
android_getaddrinfofornet	LIBC_Q
android_getaddrinfofornetcontext	LIBC_PRIVATE
android_gethostbyaddrfornet	LIBC_PRIVATE
android_gethostbyaddrfornetcontext	LIBC_PRIVATE
android_gethostbynamefornet	LIBC_PRIVATE
android_gethostbynamefornetcontext	LIBC_PRIVATE
android_mallopt	LIBC_Q
android_net_res_stats_aggregate	LIBC_PLATFORM
android_net_res_stats_get_info_for_net	LIBC_PLATFORM
android_net_res_stats_get_usable_servers	LIBC_PLATFORM
android_reset_stack_guards	LIBC_S
android_run_on_all_threads	LIBC_PRIVATE
android_set_abort_message	LIBC
android_unsafe_frame_pointer_chase	LIBC_PRIVATE
arc4random	LIBC
arc4random_buf	LIBC
arc4random_uniform	LIBC
asctime	LIBC
asctime_r	LIBC
asprintf	LIBC
at_quick_exit	LIBC
atof	LIBC
atoi	LIBC
atol	LIBC
atoll	LIBC
backtrace	LIBC_T
backtrace_symbols	LIBC_T
backtrace_symbols_fd	LIBC_T
basename	LIBC
bind	LIBC
bindresvport	LIBC
brk	LIBC
bsearch	LIBC
btowc	LIBC
c16rtomb	LIBC
c32rtomb	LIBC
call_once	LIBC_R
calloc	LIBC
capget	LIBC
capset	LIBC
catclose	LIBC_O
catgets	LIBC_O
catopen	LIBC_O
cfgetispeed	LIBC
cfgetospeed	LIBC
cfmakeraw	LIBC
cfsetispeed	LIBC
cfsetospeed	LIBC
cfsetspeed	LIBC
chdir	LIBC
chmod	LIBC
chown	LIBC
chroot	LIBC
clearenv	LIBC
clearerr	LIBC
clearerr_unlocked	LIBC
clock	LIBC
clock_adjtime	LIBC_N
clock_getcpuclockid	LIBC
clock_getres	LIBC
clock_gettime	LIBC
clock_nanosleep	LIBC
clock_settime	LIBC
clone	LIBC
close	LIBC
close_range	LIBC_U
closedir	LIBC
closelog	LIBC
cnd_broadcast	LIBC_R
cnd_destroy	LIBC_R
cnd_init	LIBC_R
cnd_signal	LIBC_R
cnd_timedwait	LIBC_R
cnd_wait	LIBC_R
connect	LIBC
copy_file_range	LIBC_U
creat	LIBC
creat64	LIBC
ctermid	LIBC_O
ctime	LIBC
ctime_r	LIBC
daemon	LIBC
daylight	LIBC
delete_module	LIBC
difftime	LIBC
dirfd	LIBC
dirname	LIBC
div	LIBC
dn_expand	LIBC
dprintf	LIBC
drand48	LIBC
dup	LIBC
dup2	LIBC
dup3	LIBC
duplocale	LIBC
endgrent	LIBC_O
endhostent	LIBC_P
endmntent	LIBC
endnetent	LIBC_P
endprotoent	LIBC_P
endpwent	LIBC_O
endservent	LIBC
endutent	LIBC
environ	LIBC
epoll_create	LIBC
epoll_create1	LIBC
epoll_ctl	LIBC
epoll_pwait	LIBC
epoll_pwait2	LIBC_V
epoll_pwait2_64	LIBC_V
epoll_pwait64	LIBC_P
epoll_wait	LIBC
erand48	LIBC
err	LIBC
error	LIBC
error_at_line	LIBC
error_message_count	LIBC
error_one_per_line	LIBC
error_print_progname	LIBC
errx	LIBC
ether_aton	LIBC
ether_aton_r	LIBC
ether_ntoa	LIBC
ether_ntoa_r	LIBC
eventfd	LIBC
eventfd_read	LIBC
eventfd_write	LIBC
execl	LIBC
execle	LIBC
execlp	LIBC
execv	LIBC
execve	LIBC
execvp	LIBC
execvpe	LIBC
exit	LIBC
faccessat	LIBC
fallocate	LIBC
fallocate64	LIBC
fchdir	LIBC
fchmod	LIBC
fchmodat	LIBC
fchown	LIBC
fchownat	LIBC
fclose	LIBC
fcntl	LIBC
fdatasync	LIBC
fdopen	LIBC
fdopendir	LIBC
feof	LIBC
feof_unlocked	LIBC
ferror	LIBC
ferror_unlocked	LIBC
fexecve	LIBC_P
fflush	LIBC
fflush_unlocked	LIBC_P
ffs	LIBC
ffsl	LIBC_S
ffsll	LIBC_S
fgetc	LIBC
fgetc_unlocked	LIBC_P
fgetln	LIBC
fgetpos	LIBC
fgetpos64	LIBC_N
fgets	LIBC
fgets_unlocked	LIBC_P
fgetwc	LIBC
fgetws	LIBC
fgetxattr	LIBC
fileno	LIBC
fileno_unlocked	LIBC_N
flistxattr	LIBC
flock	LIBC
flockfile	LIBC
fmemopen	LIBC
fnmatch	LIBC
fopen	LIBC
fopen64	LIBC_N
fork	LIBC
forkpty	LIBC
fpathconf	LIBC
fprintf	LIBC
fpurge	LIBC
fputc	LIBC
fputc_unlocked	LIBC_P
fputs	LIBC
fputs_unlocked	LIBC_P
fputwc	LIBC
fputws	LIBC
fread	LIBC
fread_unlocked	LIBC_P
free	LIBC
freeaddrinfo	LIBC
freeifaddrs	LIBC_N
freelocale	LIBC
fremovexattr	LIBC
freopen	LIBC
freopen64	LIBC_N
fscanf	LIBC
fseek	LIBC
fseeko	LIBC
fseeko64	LIBC_N
fsetpos	LIBC
fsetpos64	LIBC_N
fsetxattr	LIBC
fstat	LIBC
fstat64	LIBC
fstatat	LIBC
fstatat64	LIBC
fstatfs	LIBC
fstatfs64	LIBC
fstatvfs	LIBC
fstatvfs64	LIBC
fsync	LIBC
ftell	LIBC
ftello	LIBC
ftello64	LIBC_N
ftok	LIBC
ftruncate	LIBC
ftruncate64	LIBC
ftrylockfile	LIBC
fts_children	LIBC
fts_close	LIBC
fts_open	LIBC
fts_read	LIBC
fts_set	LIBC
ftw	LIBC
ftw64	LIBC
funlockfile	LIBC
funopen	LIBC
funopen64	LIBC_N
futimens	LIBC
futimes	LIBC_O
futimesat	LIBC_O
fwide	LIBC
fwprintf	LIBC
fwrite	LIBC
fwrite_unlocked	LIBC_P
fwscanf	LIBC
gai_strerror	LIBC
get_avphys_pages	LIBC
get_nprocs	LIBC
get_nprocs_conf	LIBC
get_phys_pages	LIBC
getaddrinfo	LIBC
getauxval	LIBC
getc	LIBC
getc_unlocked	LIBC
getchar	LIBC
getchar_unlocked	LIBC
getcwd	LIBC
getdelim	LIBC
getdomainname	LIBC_O
getegid	LIBC
getentropy	LIBC_P
getenv	LIBC
geteuid	LIBC
getgid	LIBC
getgrent	LIBC_O
getgrgid	LIBC
getgrgid_r	LIBC_N
getgrnam	LIBC
getgrnam_r	LIBC_N
getgrouplist	LIBC
getgroups	LIBC
gethostbyaddr	LIBC
gethostbyaddr_r	LIBC
gethostbyname	LIBC
gethostbyname2	LIBC
gethostbyname2_r	LIBC
gethostbyname_r	LIBC
gethostent	LIBC
gethostname	LIBC
getifaddrs	LIBC_N
getitimer	LIBC
getline	LIBC
getloadavg	LIBC_Q
getlogin	LIBC
getlogin_r	LIBC_P
getmntent	LIBC
getmntent_r	LIBC
getnameinfo	LIBC
getnetbyaddr	LIBC
getnetbyname	LIBC
getnetent	LIBC_P
getopt	LIBC
getopt_long	LIBC
getopt_long_only	LIBC
